index,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Firmicutes,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Fusobacteriota,d__Bacteria;__,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Verrucomicrobiota,Unassigned;__,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__WPS-2,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Acidobacteriota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Deinococcota,d__Archaea;__,d__Archaea;p__Halobacterota,Unnamed: 2,barcode-sequence
BIO_A10,34311.0,0.0,0.0,0.0,3.0,0.0,20.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,
BIO_A12,52647.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,,
BIO_A6,253.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BIO_B1,33612.0,15.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BIO_B2,510.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CON_C10,36.0,284.0,8.0,0.0,141.0,0.0,868.0,0.0,0.0,180.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,
CON_C11,83.0,51.0,0.0,0.0,3.0,0.0,921.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,,
CON_C12,1777.0,18.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CON_D1,66207.0,3.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,
CON_D2,33.0,51.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CON_D3,26858.0,175.0,0.0,0.0,65.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ISS_C4,80909.0,0.0,0.0,0.0,18.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ISS_C5,53148.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ISS_C6,31094.0,0.0,0.0,0.0,0.0,0.0,885.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,
ISS_C7,99926.0,10.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ISS_C8,83235.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,,
ISS_C9,84540.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PBS_D5,7674.0,136.0,364.0,0.0,88.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PBSuni_D6,9278.0,114.0,377.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SK_B10,21919.0,875.0,775.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,137.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SK_B11,23088.0,1324.0,623.0,0.0,1182.0,0.0,0.0,0.0,196.0,0.0,77.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,,
